batiment_groupe_id,l_annee_construction,nb_log
69387000AT0036_f91a1516fd08ced,,16.0
69387000AW0030_dae1772229f2b46,,19.0
69387000AX0079_6f00299886888cd,,16.0
69387000BD0062_981abba496c2f48,"[ ""1992"" ]",33.0
69387000BK0056_6478799b22b11cc,,16.0
69387000BK0094_d6b5dd4b74d1a3a,"[ ""1960"" ]",9.0
69387000BK0036_b7d49c65520688a,,10.0
69387000BO0182_60e9dbeb6d766f7,"[ ""2008"" ]",49.0
69387000BW0001_67fed128c5c89e8,"[ ""1950"" ]",5.0
69387000BW0003_949ef8a26e63d1f,"[ ""1960"" ]",32.0
69387000BK0301_340f4984c30538a,,76.0
69388000AE0068_d37b8366fa30bc8,,39.0
69388000AH0115_49c0f617cc7ab7c,"[ ""1985"" ]",21.0
69388000BI0123_8eec7c6f4e5541d,"[ ""1965"" ]",25.0
69388000BP0019_37ed480ea4eab1e,,3.0
69389000AP0169_0b41711d047c275,"[ ""2006"" ]",145.0
69389000BC0128_c444e7b1b67d54a,,46.0
69389000BN0010_ebe4b8a3b5ffb1c,"[ ""1957"" ]",14.0
69389000BT0085_8daf7d77e36ff8a,,11.97
69389000CE0036_498c83f7de5a1e5,"[ ""1860"", ""1965"" ]",16.0
69389000CX0234_603691a725fd110,,1.82
69389000CX0223_0aceb7395b83629,,5.59
69389000CX0232_2029a4ac2c9b406,,3.77
69389000CX0233_26c013e0e2f38fc,,1.82
uf692940251524_d88ce9a2b82c1e0,"[ ""2020"" ]",11.34
uf692940149878_88dfb7ab06ca6e6,"[ ""2020"" ]",2.34
uf693890154711_6fa0ef452f9f00e,,7.03
69089000BK0044_2e8c9a25990bd45,,4.0
69259000AI0040_9943c00e593ebb2,,16.0
69266000CO0227_cd670d528127da2,"[ ""1969"" ]",27.0
69381000AB0026_860b15937a1679c,"[ ""1964"" ]",14.0
69381000AH0005_0cb8f991105c01a,"[ ""1946"" ]",13.0
69381000AP0291_633fd33ba4643e6,,9.0
69382000AK0090_aded67131219fa8,"[ ""1927"" ]",19.0
69382000AS0016_fdca4b092625bff,,14.0
69382000AK0008_71063bc01a8ef12,,60.0
69383000AP0032_e9df1ffee18f430,,7.0
69383000AY0060_210956180d947c4,"[ ""1951"" ]",7.0
69383000AY0090_f26e5f174c6414f,"[ ""1954"" ]",16.0
69383000CH0006_0d330e4b859112f,"[ ""1957"" ]",31.0
69384000AV0030_d215c2e0eadcbb1,,15.0
69384000AW0250_ca2066b3971ec52,"[ ""1948"" ]",13.68
69385000AP0029_7ff1c9848fb387f,"[ ""1963"" ]",8.0
69386000AK0018_050c9064be6204f,"[ ""1961"", ""1956"" ]",117.0
69386000AP0111_375e6db1bee9c28,"[ ""1947"" ]",11.0
69386000BD0050_0bd5d5bc8925397,,18.0
69386000BD0156_1c27fb692f2af98,"[ ""1972"" ]",51.0
69386000BH0048_181e15257848c14,"[ ""1947"" ]",9.0
69387000AD0065_6d2659b9befd1ca,"[ ""1937"" ]",14.0
69387000AE0140_059540e6306b255,"[ ""1989"" ]",23.5
69387000AR0015_6dd6f3b6ca4d879,"[ ""1957"" ]",28.0
69387000BO0110_838654f8268b0fe,"[ ""2008"" ]",106.0
69387000BR0154_608396b68f07ecf,"[ ""1981"" ]",30.0
69387000BS0043_3a9e83bcbf9f3ae,"[ ""1914"" ]",2.0
69389000CV0014_6ce78795e112524,,3.0
69019000AE0713_c86639d81559039,"[ ""2017"" ]",0.0
690290000A0732_7d90b09f11ead9f,,30.0
69388000BS0013_75b80b5b936af06,"[ ""2019"" ]",0.0
69027000BE0069_09816dc9cca3688,"[ ""2016"" ]",32.0
690290000B2066_5c547ab5b381d8a,"[ ""2010"" ]",77.0
69034000AP0249_e928d869816e2d8,"[ ""2012"" ]",57.0
69034000AP0265_5f276de352f54c8,"[ ""2008"" ]",62.0
69034000BK0370_f471c547573f336,"[ ""2005"" ]",24.0
69069000AB0279_e2a28bdb46169dd,"[ ""2007"" ]",32.0
69069000AD0266_4c2912f257c2d73,"[ ""2007"" ]",35.15
69069000AW0366_987029576392836,"[ ""2011"" ]",18.5
69069000AW0003_d1ca211eecd72d9,"[ ""2011"" ]",18.5
69089000BK0028_1f56cfcd405c97d,"[ ""2007"" ]",55.0
69089000BR0292_1ce9c6ffeef4f65,"[ ""2002"" ]",22.0
69091000AN0227_a37c4a9e39b98ca,"[ ""2007"" ]",5.04
69149000AK0508_cbb22d597faa619,"[ ""2003"" ]",20.0
69149000AL0198_9dd28157b6e22db,,11.0
69152000AL0477_86fc07438a50e59,"[ ""2002"" ]",52.0
69204000BW0228_5815ed57c376b4d,"[ ""1988"" ]",206.0
69244000AS0497_b19bd3dbbb6df06,"[ ""2004"" ]",17.0
69244000AO0161_78ff1ff521db23a,"[ ""1999"" ]",46.0
69256000BR0559_5e8d3d0e40feef6,"[ ""2013"" ]",80.0
69264000AB0277_b7e088bf38df304,"[ ""2002"" ]",27.0
69264000AC0478_34912d7d0c6aa65,"[ ""2002"" ]",30.0
69264000AK0028_9ce67c8e671ce60,"[ ""2005"" ]",47.0
69264000AI0529_ed351a9083f10fe,"[ ""1986"" ]",11.0
69264000AK0350_2cfb9c23f446464,"[ ""2004"" ]",44.0
69264000AL0340_9de285daa701ddb,"[ ""1996"" ]",12.0
69264000AL0446_c3e6d0fadbc7856,,13.0
69264000AN0413_aad267c33b1ffbb,"[ ""2005"" ]",81.0
69264000AP0024_5653614c1fd5720,"[ ""2002"" ]",52.0
69266000AN0144_d0bc6af65873e40,"[ ""2014"" ]",63.0
69266000AT0285_a6abc74fb6dfd6f,,31.0
69266000AI0252_85032272aa62757,"[ ""2006"" ]",61.0
69266000BC0557_8f0c44aa67b2662,"[ ""2004"" ]",37.0
69266000BE0170_5edd6dd5493d811,"[ ""1963"" ]",0.0
69266000BE0269_4dbbb9a12f95b06,,69.0
69266000BE0369_a1a80c426dfeac2,"[ ""2010"", ""2001"" ]",336.0
69266000BI0029_25aba98a64fb56a,"[ ""1975"" ]",111.0
69266000BM0125_2595a012feaaa1e,"[ ""1996"" ]",36.0
69266000BN0180_5cd24167319319a,"[ ""1940"", ""1959"" ]",10.08
69266000BO0086_1e4c99946dbc2c8,"[ ""2003"" ]",47.0
69266000BV0098_a704b8bd9be580a,"[ ""2011"" ]",80.25
69266000CK0053_17c9b70217f147a,,7.0
69266000CL0308_de796db7c8bb62c,"[ ""2008"", ""2007"" ]",230.0
69266000CM0138_47088c0d968283a,"[ ""2010"" ]",169.0
69266000CN0132_26794e1b9dd7585,,46.0
69275000AY0275_adbde79b780a014,"[ ""2011"" ]",38.0
69278000AI0523_ea9e1f301c04af7,"[ ""1998"" ]",14.0
69286000BH0254_d783e7fa6c0e84a,"[ ""2001"" ]",16.0
69290000CN0001_4e3e5e650b945c4,"[ ""2014"" ]",48.0
69290000CW0615_8dbe44f29857295,,49.0
69294000AM0206_f69a81f7ade93f8,"[ ""2013"" ]",18.0
69382000AL0015_a2a63f70c0bfc49,,9.0
69382000AP0006_47b070850b985d9,"[ ""2015"" ]",48.0
69383000AB0079_c598d57789f5ee3,,112.0
69383000AO0064_563fd83d5fce81b,"[ ""1958"" ]",22.0
69383000AZ0223_dcee2b0cb9374f2,"[ ""2001"" ]",124.0
69383000AZ0215_3bca192ff774235,,84.0
69383000DT0052_75dc3a1be4be537,"[ ""2005"" ]",27.0
69383000BI0059_cd0159de70e7a12,"[ ""1988"" ]",74.0
69383000CV0030_48da108bd56c8c0,"[ ""2011"" ]",28.0
69383000DH0007_c15d9b1bfd00cb3,"[ ""2016"" ]",33.0
69383000CX0055_bbbb1fbf8a72eae,"[ ""2015"" ]",9.0
69383000DT0090_dc784f8f04e19aa,"[ ""1992"" ]",38.0
69383000DZ0087_f90f4f41736320c,"[ ""1986"" ]",46.0
69384000AD0161_aec1ee85fab4b80,"[ ""1998"" ]",38.0
69385000BD0077_ebd732dcf06ad65,"[ ""2003"" ]",37.0
69386000BE0123_3ae3ec650dcf9c9,"[ ""1962"" ]",0.0
69386000BM0131_93d16b9bfefc2d4,,13.0
69387000AI0020_53ab43f92e5d016,"[ ""1989"" ]",89.0
69386000BL0037_f54ee6f0294b612,,32.0
69387000AT0034_817e3df0ff133ab,"[ ""1996"", ""1956"" ]",60.0
69387000BK0122_2a5fa71ab5e85ca,"[ ""2019"" ]",64.0
69387000BO0054_429758724da88b7,"[ ""2006"" ]",30.0
69387000BR0142_f15e045743470cb,,56.0
69388000AD0018_a0691fabc1b6383,,6.0
69388000BN0022_7cb298a808359c7,"[ ""2003"" ]",33.0
69388000BX0097_5401def69488bf4,"[ ""2011"" ]",29.0
69388000CI0367_a12bd8dc8182a64,"[ ""1980"" ]",17.0
69388000BS0051_1d509f673f3de70,"[ ""1994"" ]",208.0
69389000AM0039_f4f340c74ad6152,,13.0
69388000BV0055_9790c9711c4f6e2,"[ ""2004"" ]",67.0
69388000BX0092_6fb676879c31e4e,,53.0
69389000BP0167_f94acfc685e48cd,"[ ""1997"" ]",50.0
69389000BP0203_8503e37a779d97d,,48.0
69389000BP0219_76071312cc78726,"[ ""1998"" ]",67.0
uf692440117875_d604c112c8aa9bf,"[ ""2012"" ]",21.0
69009000AM0247_780d3ed94482a33,"[ ""2006"" ]",18.0
690290000C1953_19fbf1157f68dd1,,0.0
690290000C1953_0cb63bd3230bb9a,,17.0
690290000C1953_9392ca47dfe128a,,0.0
690290000F1578_d88007db1333d2b,"[ ""1972"" ]",18.0
690290000F1169_bf3ebda4e3ca320,"[ ""1995"" ]",14.06
690290000F1578_05d8bc5d5b22c9c,"[ ""1972"" ]",0.0
690290000F1169_abbe0546362add4,"[ ""1995"" ]",22.94
69034000BE0039_8354ea7af893609,"[ ""1960"" ]",0.0
69034000BE0039_a87f8af976cc7c6,"[ ""1960"" ]",0.0
69034000BK0354_92192c26d676dec,"[ ""1965"" ]",30.5
69034000BK0354_b4de90ecee96bc6,"[ ""1965"" ]",30.5
69040000AI0310_9574ab4edba6530,"[ ""1957"" ]",1.0
69040000AI0310_03a5c398a357b5d,"[ ""1957"" ]",19.0
69040000AI0310_edc8597e2108eb7,"[ ""1957"" ]",0.0
69040000AI0310_29aae75096d5937,"[ ""1957"" ]",30.0
69040000AH0264_dfa2855df27a4cf,"[ ""1981"" ]",10.0
690810000D1027_952c55dd8cdc17f,"[ ""1969"" ]",100.5
69115000AB0117_4f0d0bfb2c29fb5,"[ ""1963"" ]",0.0
69149000AL0226_399bc6263345fae,,8.28
69149000AL0226_ec73adba8b1714a,,3.72
69149000AS0138_c48236f4ba5e51f,,12.0
69202000AE0361_f0e0029f77d1fd0,"[ ""1998"" ]",20.0
69202000AE0361_2c34d2ef00bbcf9,"[ ""1998"" ]",20.0
69204000AT0263_ab6d0d6e766839d,"[ ""2003"", ""2004"" ]",36.0
69204000AT0263_c12fb29787af65f,"[ ""2003"", ""2004"" ]",25.2
69244000AP0201_2690191c7909f22,"[ ""2008"" ]",28.08
69244000AP0201_3be29c29c6928ca,"[ ""2008"" ]",75.92
69244000AS0166_70d47492a680eaf,,7.04
69244000AS0166_4c29b14681bfe59,,1.04
69244000AT0145_d417ea6f81296e8,"[ ""1968"" ]",0.0
69244000AT0145_8e0532a0294c7ae,"[ ""1968"" ]",132.0
69259000BL0102_698535325b3ec55,"[ ""2002"" ]",13.0
69259000BL0102_8e9d0f7969aa60c,"[ ""2002"" ]",0.0
69264000AB0278_c42122b1ffe1b38,"[ ""2001"" ]",36.0
69264000AC0648_79b038fde4d63ef,"[ ""2003"" ]",1.0
69264000AN0116_9477573cec1ec1a,,2.5
69264000AC0703_0e547125d786325,"[ ""2004"" ]",25.67
69264000AL0202_b54758d1a6c7d4f,"[ ""1971"" ]",0.0
69264000AL0202_b1d4df1e34a7035,"[ ""1971"" ]",3.0
69264000AK0071_9e72701dd966f37,,71.0
69264000AK0271_0811f83d4ca192f,"[ ""2000"" ]",18.0
69264000AL0156_9aebe5dd2dbcfdc,"[ ""1966"" ]",29.0
69264000AN0035_35ce019b7354402,"[ ""1992"" ]",25.0
69264000AN0116_7dfa703c73b8427,,2.5
69264000AP0132_d8da3af3c518cdd,"[ ""1964"" ]",8.0
69264000AP0132_36ebc4c696de73b,"[ ""1964"" ]",0.0
69266000CC0104_5c6232ac65c14dd,"[ ""1970"" ]",0.0
69266000BE0111_173f277058b18cd,,21.12
69266000BE0111_50df9613f217668,,0.88
69266000BL0323_774300a422d03de,,0.98
69266000BL0323_65f37b1b1e08fb5,,6.02
69266000BN0131_7ef0d8c1afb5caf,"[ ""1953"" ]",8.0
69266000BP0114_bd932724aeae303,"[ ""1959"" ]",20.0
69266000BR0166_80ff558a0d384b3,,39.0
69266000CC0104_5f6d94f77928aaa,"[ ""1970"" ]",0.0
69266000CI0085_b0cccec75422f12,"[ ""2006"" ]",23.04
69266000CI0085_0197ce5ed42542c,"[ ""2006"" ]",40.96
69266000CM0066_d696668e04d01a8,,0.0
69266000CM0066_7197290019f5735,,24.0
69288000AB0022_462db90c7d05ff4,"[ ""1973"" ]",22.0
69290000DE0705_7a4a8c97a9aa6ce,"[ ""1978"" ]",28.0
69290000DE0705_f87a3b9609c7803,"[ ""1978"" ]",0.0
69292000AI0058_aa11dbd25bedec2,"[ ""2012"" ]",32.0
69293000AE0433_a594a574ebc2102,"[ ""2008"" ]",10.0
69381000AB0031_2361d07ab590c69,,0.0
69381000AB0031_54aa433244a2129,,68.0
69381000AV0034_1d8f133447491d3,,8.5
69381000AM0058_b03d0d5ee112a49,,22.0
69383000AT0022_db095eb001d521e,"[ ""1998"" ]",22.5
69383000BH0031_13416445677a530,"[ ""1988"" ]",59.0
69383000BK0036_5c23558553fd1fd,,19.2
69383000BK0036_2fd736d93d377f6,,2.0
69383000BK0036_87a8efafb3e5c70,,0.0
69383000BK0036_a551f596dcadd4c,,0.0
69383000BK0036_4d0f7c0aaa37f70,,19.2
69383000BK0042_d2aff23e7dfa547,"[ ""2011"" ]",3.99
69383000BK0042_36720d60729972b,"[ ""2011"" ]",11.4
69383000BK0042_eee7142dfe867c4,"[ ""2011"" ]",15.39
69383000AZ0188_2f26bc04607278c,"[ ""1989"", ""1991"" ]",151.0
69383000BE0053_35bc971f4e22a80,"[ ""1999"" ]",29.0
69383000BE0053_e54456669479f57,"[ ""1999"" ]",29.0
69383000BK0042_fc0cb3790eb70f1,"[ ""2011"" ]",26.22
69383000CN0115_f0be8b5229e2b64,,19.0
69383000CN0115_d5448a5c3a0c64e,,0.0
69383000DR0065_23611b1cf2e7c70,"[ ""1991"" ]",12.0
69384000AI0022_78e82f504321044,"[ ""1981"" ]",63.0
69385000BK0090_a2135639fa21c63,"[ ""1990"" ]",1.0
69385000BR0003_77a87a4763225a1,"[ ""1973"" ]",36.0
69385000BR0003_3f9b243b193ff67,"[ ""1973"" ]",0.0
69386000AP0083_40d2ea8f6651bc2,,6.84
69386000AP0083_bf2fa5fe1ebecb7,,2.16
69387000AD0086_2c03c3738cde4db,"[ ""1989"" ]",98.0
69387000AL0081_cb8c27e38b9e382,,11.0
69387000AE0098_dea57feb1a3319e,"[ ""1989"" ]",24.5
69387000BI0127_6949bdc82e4aec2,"[ ""1998"" ]",41.6
69387000BI0127_585f40221e2d4b1,"[ ""1998"" ]",10.4
69387000BO0126_2d14fd26e4cb65d,"[ ""2008"" ]",98.0
69387000BO0126_aef998ec2f6dc64,"[ ""2008"" ]",29.0
69387000BS0134_cf9bfdef789c1b5,,23.0
69387000BW0107_35c13f10f468587,"[ ""2001"" ]",26.5
69387000BT0065_62ea6f499c7f336,"[ ""2004"" ]",23.0
69387000BW0107_cdc75a4d62527cc,"[ ""2001"" ]",26.5
69388000BL0006_b864aba22190597,"[ ""2009"" ]",21.0
69388000CD0011_a1010ac02f43db5,"[ ""2014"" ]",41.33
69388000BX0027_1a315f8e3331990,"[ ""2008"" ]",28.5
69389000AZ0055_7bdfe7608cb81fa,"[ ""2009"" ]",46.33
69389000BI0049_98e63ded74528f8,"[ ""2013"" ]",20.67
69389000BM0093_62be30240af8a9a,"[ ""2008"" ]",9.0
uf692660132314_7d4cc5774978bff,,15.4
uf693880154264_f52a9b976cd0e90,"[ ""1978"" ]",0.0
uf693880154264_ce80eac62a5965d,"[ ""1978"" ]",3.44
uf693880154264_74a4f641196327e,"[ ""1978"" ]",4.56
69019000AE0714_7862b06bbc0db4c,"[ ""2017"" ]",30.0
690290000D1263_ff9bc863349b3e0,"[ ""1996"" ]",0.67
69034000AC0296_bb8a6d5e11db5d2,"[ ""1978"" ]",43.0
69034000AX0386_eacd0ed590b7d85,"[ ""1966"" ]",111.0
69034000AX0389_7e181542d82b4f5,"[ ""1978"" ]",100.0
69044000AE0051_2e9cce0056f8338,"[ ""2016"" ]",9.0
69069000AI0053_8a8be8307f24208,"[ ""2010"" ]",8.25
690810000D1014_577ebff78e35934,"[ ""1966"" ]",53.5
69091000AN0228_f4be60739980fc5,"[ ""2007"" ]",12.96
69092000AP0144_2f6fbaabd898665,"[ ""2010"" ]",11.0
69100000BH0106_876286b7c346f71,"[ ""1969"" ]",110.0
69127000AH0005_b6268578fc53578,,60.0
69149000AK0004_c71328ffa49df35,"[ ""1979"" ]",55.0
69149000AH0046_5992f5279d57c7a,"[ ""1957"" ]",422.0
69149000AL0033_0805a021178bf50,"[ ""1965"" ]",38.0
69152000AH0315_5ab044b9b3a208d,"[ ""2011"" ]",144.0
69202000AD0143_06bdc184282bb52,"[ ""1977"" ]",46.0
69202000AD0260_81b902857d5f17a,"[ ""2012"" ]",16.0
69202000AE0040_ae551e01245b454,"[ ""1962"" ]",30.0
69202000AE0364_7f397eea1733ad5,"[ ""1998"" ]",18.0
69202000AE0216_09a1f565fab273b,,32.0
69202000AY0240_8932c028aae8897,,186.0
69202000AS0126_08cdbc0d9a499a7,"[ ""1964"" ]",59.0
69204000BH0223_bb376b4168e012c,"[ ""1964"" ]",64.0
69204000CB0019_78878591cdc50f5,,38.67
69204000CE0024_ac811938812d852,"[ ""1984"" ]",61.0
69244000AO0155_202826a02fbff92,"[ ""1972"" ]",37.0
69244000AP0057_deba10cd0e7d949,"[ ""1970"" ]",57.0
69256000BD0250_fae668f5bb9ff5b,"[ ""1999"", ""2000"" ]",42.0
69259000AA0194_c34176e4c1197a1,"[ ""2020"" ]",97.0
69264000AL0336_d47ef4ddf13ca43,"[ ""1980"" ]",14.0
69264000AL0211_ec04461acde3bf2,"[ ""1984"" ]",45.0
69264000AN0427_0a6f3d516c488ef,"[ ""1989"" ]",14.0
69264000AN0331_8d81124a8115316,"[ ""1966"" ]",156.0
69264000AN0366_f64b530a4a1bfb7,"[ ""1970"" ]",10.0
69266000BA0215_89a51175041b4d8,"[ ""1966"" ]",36.0
69266000BK0121_fbeef6de3374368,"[ ""1954"" ]",29.0
69266000BC0245_aca187151f5c7cb,"[ ""1961"" ]",124.0
69266000BE0089_392b154505f1bd9,,38.0
69266000BE0215_4ee95d639782d83,"[ ""1962"" ]",7.75
69266000BM0033_214ffae1c54a032,"[ ""1956"" ]",43.0
69266000BN0179_4490e6b68aa82d8,"[ ""1963"" ]",18.7
69266000BT0249_5e20ff39c6a3e65,"[ ""1975"" ]",218.0
69266000BW0115_7b0c6e138a473c6,"[ ""1965"" ]",48.0
69266000CM0098_70a83a958a76682,"[ ""2017"" ]",62.0
69268000AO0454_568af96bd418c13,"[ ""2017"" ]",35.0
69275000AT0005_2c3bf9dee5eac12,"[ ""2007"" ]",87.0
69286000AL0231_96058d13d22ae5a,"[ ""2015"" ]",47.0
69290000CM0185_c8a1b2a579c263c,"[ ""2019"" ]",111.0
69290000CL0147_a2924ea78f75a55,"[ ""1967"" ]",824.0
69290000CW0652_df01182609ec052,"[ ""2012"" ]",24.5
69290000DE0662_7855601472cb608,"[ ""2015"" ]",28.0
69290000EH0233_55ffeb510358182,"[ ""2016"" ]",32.0
69295000AK0118_1fcd3fe06c47780,"[ ""2015"" ]",41.0
69382000AL0004_d5f73928bacac01,"[ ""1959"" ]",14.0
69382000AP0007_a9e5e3719b6f379,"[ ""2016"", ""2015"" ]",178.0
69382000AW0117_d1279a0ffb7f29f,"[ ""1901"", ""1973"" ]",20.0
69382000BC0166_00bf364ad01dd89,"[ ""2007"" ]",99.0
69382000AZ0194_0ffe6a708cefdc4,"[ ""2000"", ""2013"" ]",268.0
69383000AE0124_5b83d411c7c0b97,,103.0
69383000CS0010_4e9e05776b80ba0,,21.0
69383000DE0068_b78fd60cd85e139,"[ ""1986"" ]",11.0
69383000DN0075_38e616f9235b750,"[ ""2016"" ]",14.0
69383000DT0043_08e37675756c830,"[ ""2002"" ]",29.0
69383000DY0023_d0cd677a8529a8b,"[ ""2016"" ]",25.0
69384000AC0092_6a4bb71a036bc2e,,0.0
69384000AO0054_52c7bd08c3478e7,,18.0
69385000AY0127_1bc403c2f72cbff,"[ ""1960"" ]",45.0
69385000BI0188_c808a3cee3df8e4,"[ ""2013"" ]",33.0
69385000BO0175_1355d41901a2e3a,"[ ""1966"" ]",19.0
69385000BK0070_4a6e5100b529ca8,"[ ""1989"" ]",30.0
69385000BK0087_3074af237f304d4,"[ ""1961"" ]",60.0
69385000BN0105_a28af00974c770e,"[ ""1987"" ]",31.0
69386000AK0098_c384a96d896f8f7,"[ ""1956"" ]",4.5
69386000AR0046_c3a72ea03bd855b,,35.0
69386000AS0034_11751a39c3dc903,,40.0
69386000AS0114_fb8a93e34b58ce0,"[ ""2007"" ]",114.0
69386000AX0094_6ec0e45f5b72660,,14.0
69386000BD0143_5f864acdcdf0fa4,"[ ""1997"" ]",163.0
69387000AE0130_1b93a61b9a6b442,"[ ""1994"" ]",61.0
69387000AI0016_d09253555097a84,"[ ""1977"" ]",120.67
69387000AZ0073_5f39153968b975f,,77.0
69387000BL0013_58fb959f4e672de,,110.0
69387000BK0290_9d58857ddda7f49,"[ ""2013"", ""2011"" ]",203.0
69387000BO0112_a0a39992585f023,"[ ""2005"", ""2004"" ]",156.0
69387000BS0101_82d6aa9adcec5e2,"[ ""2006"" ]",136.0
69387000BY0002_5c748be7f75390b,"[ ""2008"" ]",65.0
69387000BZ0144_586f2638ba3419f,"[ ""1990"" ]",95.0
69388000AM0087_c1d186228a536ec,,59.0
69388000BI0221_0e1c6d1465169e8,,37.0
69388000BN0097_fc8b24e632b0d76,,23.0
69388000BX0125_915dbb4f3685343,"[ ""2011"", ""2013"", ""2012"" ]",177.0
69388000BV0068_a02a8fb3bb162b0,"[ ""1966"" ]",86.0
69388000CK0040_c7e5d82ede06246,"[ ""1973"" ]",156.0
69389000BS0062_b875b87c9cfb95b,,17.0
uf690690034702_227d7a151bcc61a,"[ ""2010"" ]",3.83
uf692830142634_f345a5add296ec9,"[ ""2012"" ]",58.0
uf693820152347_50ddfd71bcad815,"[ ""2012"", ""2011"", ""2014"" ]",28.0
